comet_id,comet_name,apparition_id,apparition_year,perihelion_date,peak_mag_n,predicted,event_case,competing_min_mag,solo_at_mag6,solo_at_mag8
19P,19P/Borrelly,19P_1918,1918,1918-11-17,8.88084482019897,True,expected_seen,7.2104248056168,True,False
19P,19P/Borrelly,19P_1911,1911,1911-12-18,9.015790368903518,True,expected_seen,-0.2145510151282152,False,False
19P,19P/Borrelly,19P_1905,1905,1905-01-17,10.330968182474278,False,unexpected_seen,3.3735436442197706,False,False
20D,20D/Westphal,20D_1913,1913,1913-11-26,5.410890220859876,True,expected_seen,4.835700377692698,False,False
20D,20D/Westphal,20D_1852,1852,1852-10-13,5.064014171378807,False,unexpected_seen,5.315973327975413,False,False
21P,21P/Giacobini-Zinner,21P_1940,1940,1940-02-17,12.620458334581947,True,expected_seen,4.264483543521379,False,False
21P,21P/Giacobini-Zinner,21P_1933,1933,1933-07-15,11.78011191220804,True,expected_seen,5.891634236349665,False,False
21P,21P/Giacobini-Zinner,21P_1926,1926,1926-12-11,11.546823184049805,True,expected_seen,2.852713321900161,False,False
21P,21P/Giacobini-Zinner,21P_1913,1913,1913-11-02,9.757448211272166,True,expected_seen,6.159482170568776,True,False
21P,21P/Giacobini-Zinner,21P_1900,1900,1900-11-28,10.771690193456902,False,unexpected_seen,-2.318902895499792,False,False
22P,22P/Kopff,22P_1939,1939,1939-03-13,12.336595368190851,True,expected_seen,2.3960866007038835,False,False
22P,22P/Kopff,22P_1932,1932,1932-08-21,10.638393176294349,True,expected_seen,7.135937025172408,True,False
22P,22P/Kopff,22P_1926,1926,1926-01-28,12.787037244940468,True,expected_seen,4.882906594842448,False,False
22P,22P/Kopff,22P_1919,1919,1919-06-28,9.961419312925663,True,expected_seen,5.928362410521481,False,False
22P,22P/Kopff,22P_1906,1906,1906-05-03,11.19930478865529,False,unexpected_seen,2.020171797617616,False,False
23P,23P/Brorsen-Metcalf,23P_1919,1919,1919-10-17,5.928362410521481,True,expected_seen,6.1149054404767735,True,False
24P,24P/Schaumasse,24P_1927,1927,1927-10-01,12.64229901547705,True,expected_seen,-2.652527369069785,False,False
24P,24P/Schaumasse,24P_1919,1919,1919-10-20,12.404421167870508,True,expected_seen,5.928362410521481,False,False
24P,24P/Schaumasse,24P_1911,1911,1911-11-13,12.302052562642263,False,unexpected_seen,-0.2145510151282152,False,False
25D,25D/Neujmin 2,25D_1927,1927,1927-01-16,11.798744794850334,True,expected_seen,-0.0412961303320338,False,False
25D,25D/Neujmin 2,25D_1916,1916,1916-03-11,9.914709992830762,False,unexpected_seen,5.560721155303248,False,False
26P,26P/Grigg-Skjellerup,26P_1937,1937,1937-05-23,10.313587066499071,True,expected_seen,4.092083787749923,False,False
26P,26P/Grigg-Skjellerup,26P_1932,1932,1932-05-12,9.3024658811816,True,expected_seen,7.135937025172408,True,False
26P,26P/Grigg-Skjellerup,26P_1927,1927,1927-05-10,8.823175403704223,True,expected_seen,-0.0412961303320338,False,False
26P,26P/Grigg-Skjellerup,26P_1922,1922,1922-05-15,9.468488674929675,False,unexpected_seen,6.482,True,False
27P,27P/Crommelin,27P_1928,1928,1928-11-04,5.253828375367279,True,expected_seen,3.700286433562564,False,False
27P,27P/Crommelin,27P_1873,1873,1873-12-02,3.382514341277396,False,unexpected_seen,-1.5290124170438126,False,False
28P,28P/Neujmin 1,28P_1931,1931,1931-04-30,13.805276617104136,True,expected_seen,-5.036073703572425,False,False
28P,28P/Neujmin 1,28P_1913,1913,1913-08-16,10.87465854104917,False,unexpected_seen,8.446997058697312,True,True
29P,29P/Schwassmann-Wachmann 1,29P_1925,1925,1925-05-07,15.643546445436534,False,unexpected_seen,6.952424256166901,True,False
30P,30P/Reinmuth 1,30P_1935,1935,1935-04-29,13.888561855834425,True,expected_seen,8.330649037955682,True,True
30P,30P/Reinmuth 1,30P_1928,1928,1928-01-30,12.608889294203642,False,unexpected_seen,-2.652527369069785,False,False
31P,31P/Schwassmann-Wachmann 2,31P_1935,1935,1935-08-28,12.552382501761432,True,expected_seen,8.41140464728844,True,True
31P,31P/Schwassmann-Wachmann 2,31P_1929,1929,1929-03-23,11.268850514015789,False,unexpected_seen,3.700286433562564,False,False
32P,32P/Comas Sola,32P_1935,1935,1935-10-06,12.80577989223834,True,expected_seen,10.383669830441814,True,True
32P,32P/Comas Sola,32P_1927,1927,1927-03-22,12.370106164960465,False,unexpected_seen,-0.0412961303320338,False,False
33P,33P/Daniel,33P_1937,1937,1937-01-27,11.44657525566774,True,expected_seen,3.793657249346492,False,False
33P,33P/Daniel,33P_1909,1909,1909-11-29,9.031578878239907,False,unexpected_seen,-3.770183864478436,False,False
34D,34D/Gale,34D_1938,1938,1938-06-18,6.97150032741094,True,expected_seen,3.5371951707799942,False,False
34D,34D/Gale,34D_1927,1927,1927-06-14,7.75546378705577,False,unexpected_seen,-0.2791086759169019,False,False
35P,35P/Herschel-Rigollet,35P_1939,1939,1939-08-09,6.89568822924691,False,unexpected_seen,2.3960866007038835,False,False
36P,36P/Whipple,36P_1933,1933,1933-08-01,13.095658927708993,False,unexpected_seen,5.891634236349665,False,False
37P,37P/Forbes,37P_1929,1929,1929-06-26,10.456063268678427,False,unexpected_seen,3.700286433562564,False,False
38P,38P/Stephan-Oterma,38P_1867,1867,1867-01-20,11.014282650443675,False,unexpected_seen,10.715545991892943,True,True
40P,40P/Vaisala 1,40P_1939,1939,1939-04-26,14.583800329901637,False,unexpected_seen,2.3960866007038835,False,False
41P,41P/Tuttle-Giacobini-Kresak,41P_1907,1907,1907-05-29,11.609575688200852,True,expected_seen,1.3760852079854522,False,False
41P,41P/Tuttle-Giacobini-Kresak,41P_1858,1858,1858-05-03,10.170974896771275,False,unexpected_seen,-0.1851114415708261,False,False
42P,42P/Neujmin 3,42P_1929,1929,1929-06-28,14.064250858040689,False,unexpected_seen,3.708913990509788,False,False
43P,43P/Wolf-Harrington,43P_1925,1925,1925-01-11,15.491,False,unexpected_seen,3.382650042994516,False,False
54P,54P/de Vico-Swift-NEAT,54P_1894,1894,1894-10-12,10.98016083785318,True,expected_seen,3.15430492441038,False,False
55P,55P/Tempel-Tuttle,55P_1866,1866,1866-01-11,4.601142914576935,False,unexpected_seen,4.6123208670732,False,False
58P,58P/Jackson-Neujmin,58P_1936,1936,1936-10-03,13.382347843675024,False,unexpected_seen,3.793657249346492,False,False
64P,64P/Swift-Gehrels,64P_1889,1889,1889-11-30,10.853312660394282,False,unexpected_seen,2.959505074732233,False,False
69P,69P/Taylor,69P_1916,1916,1916-01-31,9.85308570848554,False,unexpected_seen,4.014186787254949,False,False
72P,72P/Denning-Fujikawa,72P_1881,1881,1881-09-13,4.783619887162266,False,unexpected_seen,0.0301612757337454,False,False
97P,97P/Metcalf-Brewington,97P_1906,1906,1906-10-10,10.902690563069914,False,unexpected_seen,6.451622008251438,True,False
109P,109P/Swift-Tuttle,109P_1862,1862,1862-08-23,1.5381748630743517,False,unexpected_seen,4.409802247991496,False,False
113P,113P/Spitaler,113P_1890,1890,1890-10-27,11.863033907756654,False,unexpected_seen,7.077714749255593,True,False
139P,139P/Vaisala-Oterma,139P_1939,1939,1939-12-30,18.685,False,unexpected_seen,2.4254448160453426,False,False
177P,177P/Barnard 2,177P_1889,1889,1889-06-21,9.333006147347962,False,unexpected_seen,4.464407730997653,False,False
206P,206P/Barnard-Boattini,206P_1892,1892,1892-12-11,11.792255238138626,False,unexpected_seen,1.777690971154502,False,False
274P,274P/Tombaugh-Tenagra,274P_1931,1931,1931-01-15,17.45,False,unexpected_seen,4.000245786814546,False,False
489P,489P/Denning,489P_1894,1894,1894-02-09,8.121496270857842,False,unexpected_seen,4.343647967120743,False,False
C/1850 J1,C/1850 J1 (Petersen),C_1850J1_1850,1850,1850-07-24,4.701667139581693,False,unexpected_seen,4.82462548568739,False,False
C/1850 Q1,C/1850 Q1 (Bond),C_1850Q1_1850,1850,1850-10-19,4.82462548568739,False,unexpected_seen,4.701667139581693,False,False
C/1851 P1,C/1851 P1 (Brorsen),C_1851P1_1851,1851,1851-08-26,6.737783621557676,False,unexpected_seen,6.845997901374982,True,False
C/1852 K1,C/1852 K1 (Chacornac),C_1852K1_1852,1852,1852-04-20,9.357833793581907,False,unexpected_seen,3.1217074186297573,False,False
C/1853 E1,C/1853 E1 (Secchi),C_1853E1_1853,1853,1853-02-24,5.575316135397845,False,unexpected_seen,0.3094026808216796,False,False
C/1853 G1,C/1853 G1 (Schweizer),C_1853G1_1853,1853,1853-05-10,0.3094026808216796,False,unexpected_seen,-0.6154023460890716,False,False
C/1853 L1,C/1853 L1 (Klinkerfues),C_1853L1_1853,1853,1853-09-02,0.6011671033495238,False,unexpected_seen,-0.6154023460890716,False,False
C/1853 R1,C/1853 R1 (Bruhns),C_1853R1_1853,1853,1853-10-17,-0.6154023460890716,False,unexpected_seen,0.3094026808216796,False,False
C/1853 W1,C/1853 W1 (van Arsdale),C_1853W1_1854,1854,1854-01-04,10.696472392606251,False,unexpected_seen,-0.6154023460890716,False,False
C/1854 F1,C/1854 F1 (Great comet),C_1854F1_1854,1854,1854-03-24,1.5369090254809228,False,unexpected_seen,-0.6154023460890716,False,False
C/1854 L1,C/1854 L1 (Klinkerfues),C_1854L1_1854,1854,1854-06-22,4.4909546490225,False,unexpected_seen,1.5369090254809228,False,False
C/1854 R1,C/1854 R1 (Klinkerfues),C_1854R1_1854,1854,1854-10-28,7.387161412619815,False,unexpected_seen,4.4909546490225,False,False
C/1854 Y1,C/1854 Y1 (Winnecke-Dien),C_1854Y1_1854,1854,1854-12-16,9.09815494089145,False,unexpected_seen,4.4909546490225,False,False
C/1855 G1,C/1855 G1 (Schweizer),C_1855G1_1855,1855,1855-02-05,8.196140162784133,False,unexpected_seen,4.38828989359963,False,False
C/1855 L1,C/1855 L1 (Donati),C_1855L1_1855,1855,1855-05-30,7.126325263943931,False,unexpected_seen,4.38828989359963,False,False
C/1855 V1,C/1855 V1 (Bruhns),C_1855V1_1855,1855,1855-11-25,6.095980607115899,False,unexpected_seen,4.38828989359963,False,False
C/1857 D1,C/1857 D1 (d'Arrest),C_1857D1_1857,1857,1857-03-21,6.025743603262248,False,unexpected_seen,3.0300682278914146,False,False
C/1857 M1,C/1857 M1 (Klinkerfues),C_1857M1_1857,1857,1857-07-18,5.01256954230792,False,unexpected_seen,2.9671943504121887,False,False
C/1857 O1,C/1857 O1 (Peters),C_1857O1_1857,1857,1857-08-24,7.182446175507663,False,unexpected_seen,2.9671943504121887,False,False
C/1857 Q1,C/1857 Q1 (Klinkerfues),C_1857Q1_1857,1857,1857-10-01,2.9671943504121887,False,unexpected_seen,5.01256954230792,False,False
C/1857 V1,C/1857 V1 (Donati-van Arsdale),C_1857V1_1857,1857,1857-11-19,9.014802268607982,False,unexpected_seen,2.9671943504121887,False,False
C/1858 K1,C/1858 K1 (Bruhns),C_1858K1_1858,1858,1858-06-05,6.13286300243963,False,unexpected_seen,-0.1851114415708261,False,False
C/1858 L1,C/1858 L1 (Donati),C_1858L1_1858,1858,1858-09-30,-0.1851114415708261,False,unexpected_seen,4.493319404233424,False,False
C/1858 R1,C/1858 R1 (Tuttle),C_1858R1_1858,1858,1858-10-13,5.911659058467478,False,unexpected_seen,-0.1851114415708261,False,False
C/1859 G1,C/1859 G1 (Tempel),C_1859G1_1859,1859,1859-05-29,0.1821851011525854,False,unexpected_seen,5.944764884918779,False,False
C/1860 D1,C/1860 D1 (Liais),C_1860D1_1860,1860,1860-02-17,5.991199647563243,False,unexpected_seen,0.1530891805235184,False,False
C/1860 H1,C/1860 H1 (Rumker),C_1860H1_1860,1860,1860-03-06,7.877660424294602,False,unexpected_seen,0.1530891805235184,False,False
C/1860 M1,C/1860 M1 (Great comet),C_1860M1_1860,1860,1860-06-16,0.1530891805235184,False,unexpected_seen,5.991199647563243,False,False
C/1860 U1,C/1860 U1 (Tempel),C_1860U1_1860,1860,1860-09-22,6.015555437698059,False,unexpected_seen,0.1530891805235184,False,False
C/1861 G1,C/1861 G1 (Thatcher),C_1861G1_1861,1861,1861-06-03,2.717824573760848,False,unexpected_seen,-0.9934400847778946,False,False
C/1861 J1,C/1861 J1 (Great comet),C_1861J1_1861,1861,1861-06-12,-0.9934400847778946,False,unexpected_seen,2.717824573760848,False,False
C/1861 Y1,C/1861 Y1 (Tuttle),C_1861Y1_1861,1861,1861-12-07,7.019771602766008,False,unexpected_seen,-0.9934400847778946,False,False
