apparition_id,comet_id,comet_name,designation,apparition_year,perihelion_date,discovery_date,raw_status_source,raw_aerith_status,expected,seen,event_case,status_mapping_confidence,status_notes,manual_review_status,sbdb_pdes,merged_fragments,window_start,window_end,window_extended,window_extension_reason,magnitude_provenance,manual_curated_source_citation,failed_horizons_match,failed_light_curve,missing_magnitude_model,missing_perihelion_date,no_light_curve_window,audit_notes,magnitude_quality,sbdb_M1,sbdb_K1,sbdb_M2_present,sbdb_K2_present,manual_sbdb_conflict,sbdb_nuclear_biased,peak_mag,date_peak_mag,days_mag_le_6,integrated_mag6_excess,spectacle_mag6_excess,peak_flux_proxy,integrated_flux_proxy,integrated_visible_relative_flux_mag6,spectacle_visible_relative_flux_mag6,main_sample_candidate,exclude_from_main_sample,exclusion_reason
3D_1905,3D,3D/Biela,0003D/?,1905,1905-11-21,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1905-05-25,1906-05-20,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,5.107835684039024,NaT,51,28.905212562197388,20.101378322574313,0.00905452613015084,0.4888802858719588,88.53458004283148,162.0268739239905,True,False,
3D_1899,3D,3D/Biela,0003D/?,1899,1899-04-24,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1898-10-26,1899-10-21,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,8.300942592229019,1899-05-08,0,0.0,0.0,0.0004782147453682933,0.036210424559511255,0.0,0.0,False,True,peak magnitude fainter than 6
3D_1892,3D,3D/Biela,0003D/?,1892,1892-08-27,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1892-02-29,1893-02-23,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,8.458484343742802,1892-08-31,0,0.0,0.0,0.0004136245069726199,0.031027298717803305,0.0,0.0,False,True,peak magnitude fainter than 6
3D_1886,3D,3D/Biela,0003D/?,1886,1886-01-22,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1885-07-26,1886-07-21,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,4.461933333281884,1886-02-16,73,71.06685467857044,85.38994388292362,0.01641446252210227,0.9154583810928218,195.11623328826056,598.6428477703663,True,False,
3D_1879,3D,3D/Biela,0003D/?,1879,1879-05-30,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1878-12-01,1879-11-26,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,8.636020855492582,1879-06-05,0,0.0,0.0,0.00035123004375695646,0.026985589825177764,0.0,0.0,False,True,peak magnitude fainter than 6
3D_1872,3D,3D/Biela,0003D/?,1872,1872-09-30,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1872-04-03,1873-03-29,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,8.15616977494973,1872-09-27,0,0.0,0.0,0.000546426923876681,0.041558996712419895,0.0,0.0,False,True,peak magnitude fainter than 6
3D_1866,3D,3D/Biela,0003D/?,1866,1866-01-26,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1865-07-30,1866-07-25,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,4.6123208670732,1866-02-17,71,62.1975596956613,67.62281209945125,0.014291297276345583,0.8205735330002594,171.07340232599904,463.92144592572623,True,False,
3D_1859,3D,3D/Biela,0003D/?,1859,1859-05-23,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1858-11-24,1859-11-19,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,8.592361907180704,1859-05-27,0,0.0,0.0,0.0003656412939090057,0.02829121430775163,0.0,0.0,False,True,peak magnitude fainter than 6
3D_1852,3D,3D/Biela,3D,1852,1852-09-23,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1852-03-27,1853-03-22,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,8.219189513968946,1852-09-19,0,0.0,0.0,0.000515613398739293,0.038600275317012114,0.0,0.0,False,True,peak magnitude fainter than 6
4P_1940,4P,4P/Faye,4P,1940,1940-04-24,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1939-10-27,1940-10-21,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,11.0,9.5,True,True,False,False,10.395369449904404,1940-04-20,0,0.0,0.0,6.947878577709696e-05,0.015503207662115206,0.0,0.0,False,True,peak magnitude fainter than 6
4P_1932,4P,4P/Faye,4P,1932,1932-12-06,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1932-06-09,1933-06-04,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,11.0,9.5,True,True,False,False,7.603483197065241,1932-11-01,0,0.0,0.0,0.000909089666391039,0.11067861392764788,0.0,0.0,False,True,peak magnitude fainter than 6
4P_1925,4P,4P/Faye,4P,1925,1925-08-07,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1925-02-08,1926-02-03,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,11.0,9.5,True,True,False,False,9.50959354806581,1925-09-13,0,0.0,0.0,0.00015709507892259643,0.03387909420150234,0.0,0.0,False,True,peak magnitude fainter than 6
4P_1918,4P,4P/Faye,0004P/?,1918,1918-03-29,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1917-09-30,1918-09-25,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,11.0,9.5,True,True,False,False,10.246479814189247,1918-03-15,0,0.0,0.0,7.969077939018014e-05,0.01800448108007756,0.0,0.0,False,True,peak magnitude fainter than 6
4P_1910,4P,4P/Faye,4P,1910,1910-11-02,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1910-05-06,1911-05-01,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,11.0,9.5,True,True,False,False,7.445758226932007,NaT,0,0.0,0.0,0.001051227489749645,0.11744139239590877,0.0,0.0,False,True,peak magnitude fainter than 6
4P_1903,4P,4P/Faye,0004P/?,1903,1903-06-05,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1902-12-07,1903-12-02,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,11.0,9.5,True,True,False,False,10.316583034538846,1903-06-15,0,0.0,0.0,7.470794427735145e-05,0.016489564041988463,0.0,0.0,False,True,peak magnitude fainter than 6
4P_1896,4P,4P/Faye,4P,1896,1896-03-19,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1895-09-21,1896-09-15,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,11.0,9.5,True,True,False,False,10.411176939740534,1896-02-16,0,0.0,0.0,6.847455587445032e-05,0.017025260691812732,0.0,0.0,False,True,peak magnitude fainter than 6
