comet_id,comet_name,apparition_id,apparition_year,perihelion_date,peak_mag_n,predicted,event_case,max_salience,peak_month_offset,integ_above_p75,lead_time_p75,lead_time_p90,preperi_max
14P,14P/Wolf,14P_1918,1918,1918-12-13,10.439236652351902,True,expected_seen,0.1549295774647887,5,0.0,,,0.0465116279069767
14P,14P/Wolf,14P_1912,1912,1912-02-24,11.858191718730666,True,expected_seen,0.3333333333333333,-4,0.38582779847017196,-5.0,-5.0,0.3333333333333333
14P,14P/Wolf,14P_1898,1898,1898-07-05,11.44447222557774,True,expected_seen,0.3142857142857143,3,0.33793558415268965,-1.0,3.0,0.25
14P,14P/Wolf,14P_1891,1891,1891-09-03,9.715313599842233,True,expected_seen,0.1290322580645161,-5,0.0,,,0.1290322580645161
14P,14P/Wolf,14P_1884,1884,1884-11-18,9.630103014450588,False,unexpected_seen,0.2857142857142857,-4,0.21440603569362982,-4.0,,0.2857142857142857
15P,15P/Finlay,15P_1926,1926,1926-08-07,9.203204103836626,True,expected_seen,0.1935483870967742,-4,0.025241200861956442,-4.0,,0.1935483870967742
15P,15P/Finlay,15P_1919,1919,1919-10-15,6.1149054404767735,True,expected_seen,0.1549295774647887,-5,0.0,,,0.1549295774647887
15P,15P/Finlay,15P_1906,1906,1906-09-08,6.451622008251438,True,expected_seen,0.1568627450980392,6,0.0,,,0.0859375
15P,15P/Finlay,15P_1893,1893,1893-07-12,9.611788101226573,True,expected_seen,0.3974358974358974,0,0.36734213148697115,-5.0,0.0,0.2446808510638297
15P,15P/Finlay,15P_1886,1886,1886-11-22,8.871982893151605,False,unexpected_seen,0.5192307692307693,0,0.3763781760435574,-1.0,0.0,0.1896551724137931
16P,16P/Brooks 2,16P_1939,1939,1939-09-15,9.848503842958648,True,expected_seen,0.1875,-5,0.019192813765182254,-5.0,,0.1875
16P,16P/Brooks 2,16P_1932,1932,1932-10-09,9.72018029174713,True,expected_seen,0.3333333333333333,4,0.2819641152600074,-5.0,4.0,0.2368421052631578
16P,16P/Brooks 2,16P_1925,1925,1925-11-01,9.835391560293502,True,expected_seen,0.1935483870967742,5,0.025241200861956442,5.0,,0.1
16P,16P/Brooks 2,16P_1911,1911,1911-01-08,11.549986319586148,True,expected_seen,0.3368421052631579,-4,0.608222600067704,-5.0,-5.0,0.3368421052631579
16P,16P/Brooks 2,16P_1903,1903,1903-12-06,10.915080930223349,True,expected_seen,0.4183673469387755,-5,0.5220978496484073,-5.0,-5.0,0.4183673469387755
16P,16P/Brooks 2,16P_1896,1896,1896-11-04,10.423514291990642,True,expected_seen,0.1693548387096774,3,0.0010476524748596616,3.0,,0.1489361702127659
16P,16P/Brooks 2,16P_1889,1889,1889-09-30,10.091887199403969,False,unexpected_seen,0.3636363636363636,4,0.32434591270798174,-2.0,4.0,0.2586206896551724
17P,17P/Holmes,17P_1906,1906,1906-03-14,15.175856776258138,True,expected_seen,0.0945945945945946,-3,0.0,,,0.0945945945945946
17P,17P/Holmes,17P_1899,1899,1899-04-28,14.48587388025029,True,expected_seen,0.2785714285714286,-5,0.16392938592871906,-5.0,,0.2785714285714286
17P,17P/Holmes,17P_1892,1892,1892-06-13,13.831119414599986,False,unexpected_seen,0.644927536231884,5,0.5480391911595087,5.0,5.0,0.134453781512605
18D,18D/Perrine-Mrkos,18D_1909,1909,1909-11-01,10.054783459523724,True,expected_seen,0.8207024029574861,5,2.834996520686974,-2.0,-1.0,0.4166666666666667
18D,18D/Perrine-Mrkos,18D_1896,1896,1896-11-25,9.63529273007546,False,unexpected_seen,0.1693548387096774,3,0.0010476524748596616,3.0,,0.1489361702127659
19P,19P/Borrelly,19P_1932,1932,1932-08-27,11.667103272740508,True,expected_seen,0.3333333333333333,6,0.2901275172604838,-5.0,6.0,0.2368421052631578
