comet_id,comet_name,designation,perihelion_date,perihelion_year,raw_status_icon,raw_aerith_status,source_url,source_row_html,in_scope
0005D,5D/Brorsen,0005D/?,1901-01-24,1901,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1901 Jan. 24</center></td></tr>",True
0005D,5D/Brorsen,0005D/?,1895-08-10,1895,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1895 Aug. 10</center></td></tr>",True
0005D,5D/Brorsen,0005D/?,1890-02-25,1890,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1890 Feb. 25</center></td></tr>",True
0005D,5D/Brorsen,0005D/?,1884-09-13,1884,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1884 Sept.13</center></td></tr>",True
0005D,5D/Brorsen,5D,1879-03-31,1879,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>5D</td><td><center>1879 Mar. 31</center></td></tr>",True
0005D,5D/Brorsen,5D,1873-10-10,1873,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>5D</td><td><center>1873 Oct. 10</center></td></tr>",True
0005D,5D/Brorsen,5D,1868-04-17,1868,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>5D</td><td><center>1868 Apr. 17</center></td></tr>",True
0005D,5D/Brorsen,0005D/?,1862-10-13,1862,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1862 Oct. 13</center></td></tr>",True
0005D,5D/Brorsen,5D/1857 F1,1857-03-29,1857,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>5D/1857 F1</td><td><center>1857 Mar. 29</center></td></tr>",True
0005D,5D/Brorsen,0005D/?,1851-09-24,1851,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1851 Sept.24</center></td></tr>",True
0006P,6P/d'Arrest,0006P/?,1937-01-08,1937,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1937 Jan.  8</center></td></tr>",True
0006P,6P/d'Arrest,0006P/?,1930-05-10,1930,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1930 May  10</center></td></tr>",True
0006P,6P/d'Arrest,6P,1923-09-15,1923,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>6P</td><td><center>1923 Sept.15</center></td></tr>",True
0006P,6P/d'Arrest,0006P/?,1917-04-03,1917,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0006P/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1917 Apr.  3</center></td></tr>",True
