modern_pdes,comet_id,comet_name,perihelion_date,apparition_year,is_periodic,raw_status_source,event_case,current_magnitude_provenance,sbdb_M1,sbdb_K1,sbdb_nuclear_biased,current_modeled_peak_mag,priority
55P,55P,55P/Tempel-Tuttle,1866-01-11,1866,True,AERITH,unexpected_seen,horizons_tmag,10.0,25.0,False,6.819,medium_sbdb_good
38P,38P,38P/Stephan-Oterma,1867-01-20,1867,True,AERITH,unexpected_seen,horizons_tmag,11.6,9.5,False,13.51,medium_sbdb_good
9P,9P,9P/Tempel 1,1867-05-24,1867,True,AERITH,unexpected_seen,horizons_tmag,12.9,9.0,False,13.421,medium_sbdb_good
1867 S1,C/1867 S1,C/1867 S1 (Baeker-Winnecke),1867-11-07,1867,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
26P,26P,26P/Grigg-Skjellerup,1868-02-03,1868,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,16.584,high_nuclear_biased
2P,2P,2P/Encke,1868-09-15,1868,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,14.072,high_nuclear_biased
5D,5D,5D/Brorsen,1868-04-17,1868,True,AERITH,expected_seen,horizons_tmag,8.3,10.0,False,6.402,medium_sbdb_good
1868 L1,C/1868 L1,C/1868 L1 (Winnecke),1868-06-26,1868,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
11P,11P,11P/Tempel-Swift-LINEAR,1869-11-19,1869,True,AERITH,unexpected_seen,horizons_tmag,15.2,20.0,False,12.835,medium_sbdb_good
226P,226P,226P/Pigott-LINEAR-Kowalski,1869-07-09,1869,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,16.258,medium_sbdb_good
41P,41P,41P/Tuttle-Giacobini-Kresak,1869-01-09,1869,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,18.081,high_nuclear_biased
7P,7P,7P/Pons-Winnecke,1869-06-30,1869,True,AERITH,expected_seen,horizons_tmag,16.0,4.5,True,12.0,high_nuclear_biased
